Technology (Process),Explanation
CHENBGS100,TIMES process: CHENBGS100
CHENCPS100,TIMES process: CHENCPS100
CHENELC100,TIMES process: CHENELC100
CHENELC200,TIMES process: CHENELC200
CHENELCHPR202,TIMES process: CHENELCHPR202
CHENGEO100,TIMES process: CHENGEO100
CHENGMX100,TIMES process: CHENGMX100
CHENGMX501,TIMES process: CHENGMX501
CHENHET100,TIMES process: CHENHET100
CHENLPG100,TIMES process: CHENLPG100
CHENLTH101,TIMES process: CHENLTH101
CHENOIL100,TIMES process: CHENOIL100
CHENPEL100,TIMES process: CHENPEL100
CHNBAGMX501,TIMES process: CHNBAGMX501
CHNBPGMX501,TIMES process: CHNBPGMX501
CHNCOELCHP202,TIMES process: CHNCOELCHP202
CHNCOGMX501,TIMES process: CHNCOGMX501
CHNCSGMX401,TIMES process: CHNCSGMX401
CHNENGMX501,TIMES process: CHNENGMX501
CHNSAGMX501,TIMES process: CHNSAGMX501
CHPINDBLQIPPN00_N,TIMES process: CHPINDBLQIPPN00_N
CHPINDCPSIPPN00_N,TIMES process: CHPINDCPSIPPN00_N
CHPINDIBP00,TIMES process: CHPINDIBP00
CHPINDICH00,TIMES process: CHPINDICH00
CHPINDIML00,TIMES process: CHPINDIML00
CHPINDINM00,TIMES process: CHPINDINM00
CHPINDIOF00,TIMES process: CHPINDIOF00
CHPINDIOI00,TIMES process: CHPINDIOI00
CHPINDIPO00,TIMES process: CHPINDIPO00
CHPINDIPP00,TIMES process: CHPINDIPP00
CHPINDISG00,TIMES process: CHPINDISG00
CHPINDWSTIPPN00_N,TIMES process: CHPINDWSTIPPN00_N
CHSABGS100,TIMES process: CHSABGS100
CHSACPS100,TIMES process: CHSACPS100
CHSADUM-DEM,TIMES process: CHSADUM-DEM
CHSAELC100,TIMES process: CHSAELC100
CHSAELC200,TIMES process: CHSAELC200
CHSAGEO100,TIMES process: CHSAGEO100
CHSAGMX100,TIMES process: CHSAGMX100
CHSAGMX501,TIMES process: CHSAGMX501
CHSAGMXCHPN01_N,TIMES process: CHSAGMXCHPN01_N
CHSAHET100,TIMES process: CHSAHET100
CHSALPG100,TIMES process: CHSALPG100
CHSAOIL100,TIMES process: CHSAOIL100
CHSAPEL100,TIMES process: CHSAPEL100
CLIGBAELC200,TIMES process: CLIGBAELC200
CLIGBAELC300,TIMES process: CLIGBAELC300
CLIGBAELC400,TIMES process: CLIGBAELC400
CLIGBAELC500,TIMES process: CLIGBAELC500
CLIGBAELC501,TIMES process: CLIGBAELC501
CLIGBPELC200,TIMES process: CLIGBPELC200
CLIGBPELC300,TIMES process: CLIGBPELC300
CLIGBPELC400,TIMES process: CLIGBPELC400
CLIGBPELC500,TIMES process: CLIGBPELC500
CLIGBPELC501,TIMES process: CLIGBPELC501
CLIGCOELC200,TIMES process: CLIGCOELC200
CLIGCOELC300,TIMES process: CLIGCOELC300
CLIGCOELC400,TIMES process: CLIGCOELC400
CLIGCOELC500,TIMES process: CLIGCOELC500
CLIGCOELC501,TIMES process: CLIGCOELC501
CLIGCSELC200,TIMES process: CLIGCSELC200
CLIGCSELC300,TIMES process: CLIGCSELC300
CLIGCSELC400,TIMES process: CLIGCSELC400
CLIGCSELC500,TIMES process: CLIGCSELC500
CLIGCSELC501,TIMES process: CLIGCSELC501
CLIGDATAELC200,TIMES process: CLIGDATAELC200
CLIGDATAELC300,TIMES process: CLIGDATAELC300
CLIGDATAELC400,TIMES process: CLIGDATAELC400
CLIGDATAELC500,TIMES process: CLIGDATAELC500
CLIGDATAELC501,TIMES process: CLIGDATAELC501
CLIGENELC200,TIMES process: CLIGENELC200
CLIGENELC300,TIMES process: CLIGENELC300
CLIGENELC400,TIMES process: CLIGENELC400
CLIGENELC500,TIMES process: CLIGENELC500
CLIGENELC501,TIMES process: CLIGENELC501
CLIGNBAELC501,TIMES process: CLIGNBAELC501
CLIGNBPELC501,TIMES process: CLIGNBPELC501
CLIGNCOELC501,TIMES process: CLIGNCOELC501
CLIGNCSELC501,TIMES process: CLIGNCSELC501
CLIGNDATAELC501,TIMES process: CLIGNDATAELC501
CLIGNENELC501,TIMES process: CLIGNENELC501
CLIGNSAELC501,TIMES process: CLIGNSAELC501
CLIGSAELC200,TIMES process: CLIGSAELC200
CLIGSAELC300,TIMES process: CLIGSAELC300
CLIGSAELC400,TIMES process: CLIGSAELC400
CLIGSAELC500,TIMES process: CLIGSAELC500
CLIGSAELC501,TIMES process: CLIGSAELC501
COELELC100,TIMES process: COELELC100
COELELC101,TIMES process: COELELC101
COENMIX100,TIMES process: COENMIX100
COENMIX101,TIMES process: COENMIX101
COMBDL00,Commercial process using Carbon Dioxide
COMBGS00,Commercial process using Biogas
COMCPS00,Commercial process using Solid biomass
COMELC00,Commercial process using Electricity
COMGEO00,Commercial process using Carbon Dioxide
COMGMX00,Commercial process using Biogas
COMGSL00,Commercial process using biomasse
COMHET00,Commercial process using Central heat
COMLPG00,Commercial process using Oil
COMOIL00,Commercial process using Oil
COMPEL00,Commercial process using Solid biomass
COMPVELC,Commercial process using Electricity
COMSOL00,Commercial process using Carbon Dioxide
COM_CBAT_BA,Commercial process using Carbon Dioxide
COM_CBAT_BP,Commercial process using Carbon Dioxide
COM_CBAT_CO,Commercial process using Carbon Dioxide
COM_CBAT_CS,Commercial process using Carbon Dioxide
COM_CBAT_DATA,Commercial process using Carbon Dioxide
COM_CBAT_EN,Commercial process using Carbon Dioxide
COM_CBAT_SA,Commercial process using Carbon Dioxide
COM_CNBAT_BA,Commercial process using Carbon Dioxide
COM_CNBAT_BP,Commercial process using Carbon Dioxide
COM_CNBAT_CO,Commercial process using Carbon Dioxide
COM_CNBAT_CS,Commercial process using Carbon Dioxide
COM_CNBAT_DATA,Commercial process using Carbon Dioxide
COM_CNBAT_EN,Commercial process using Carbon Dioxide
COM_CNBAT_SA,Commercial process using Carbon Dioxide
COSEELC100,TIMES process: COSEELC100
COSEELC101,TIMES process: COSEELC101
CPLIELC100,TIMES process: CPLIELC100
CPLIELC201,TIMES process: CPLIELC201
CREFELC100,TIMES process: CREFELC100
CREFELC200,TIMES process: CREFELC200
CREFELC300,TIMES process: CREFELC300
CREFELC301,TIMES process: CREFELC301
CWBABGS100,TIMES process: CWBABGS100
CWBACPS100,TIMES process: CWBACPS100
CWBAGMX100,TIMES process: CWBAGMX100
CWBAGMX101,TIMES process: CWBAGMX101
CWBALPG100,TIMES process: CWBALPG100
CWBAOIL100,TIMES process: CWBAOIL100
CWBAPEL100,TIMES process: CWBAPEL100
CWBASOL100,TIMES process: CWBASOL100
CWBASOL101,TIMES process: CWBASOL101
CWBPBGS100,TIMES process: CWBPBGS100
CWBPCPS100,TIMES process: CWBPCPS100
CWBPGMX100,TIMES process: CWBPGMX100
CWBPGMX101,TIMES process: CWBPGMX101
CWBPLPG100,TIMES process: CWBPLPG100
CWBPOIL100,TIMES process: CWBPOIL100
CWBPPEL100,TIMES process: CWBPPEL100
CWBPSOL100,TIMES process: CWBPSOL100
CWBPSOL101,TIMES process: CWBPSOL101
CWCOBGS100,TIMES process: CWCOBGS100
CWCOCPS100,TIMES process: CWCOCPS100
CWCOELC100,TIMES process: CWCOELC100
CWCOELC200,TIMES process: CWCOELC200
CWCOGMX100,TIMES process: CWCOGMX100
CWCOGMX101,TIMES process: CWCOGMX101
CWCOLPG100,TIMES process: CWCOLPG100
CWCOOIL100,TIMES process: CWCOOIL100
CWCOPEL100,TIMES process: CWCOPEL100
CWCOSOL100,TIMES process: CWCOSOL100
CWCOSOL101,TIMES process: CWCOSOL101
CWCSBGS100,TIMES process: CWCSBGS100
CWCSCPS100,TIMES process: CWCSCPS100
CWCSGMX100,TIMES process: CWCSGMX100
CWCSGMX101,TIMES process: CWCSGMX101
CWCSHET100,TIMES process: CWCSHET100
CWCSLPG100,TIMES process: CWCSLPG100
CWCSOIL100,TIMES process: CWCSOIL100
CWCSPEL100,TIMES process: CWCSPEL100
CWCSSOL100,TIMES process: CWCSSOL100
CWCSSOL101,TIMES process: CWCSSOL101
CWENBGS100,TIMES process: CWENBGS100
CWENCPS100,TIMES process: CWENCPS100
CWENGMX100,TIMES process: CWENGMX100
CWENGMX101,TIMES process: CWENGMX101
CWENLPG100,TIMES process: CWENLPG100
CWENOIL100,TIMES process: CWENOIL100
CWENPEL100,TIMES process: CWENPEL100
CWENSOL100,TIMES process: CWENSOL100
CWENSOL101,TIMES process: CWENSOL101
CWNBAGMX101,TIMES process: CWNBAGMX101
CWNBPGMX101,TIMES process: CWNBPGMX101
CWNCOGMX101,TIMES process: CWNCOGMX101
CWNCSGMX101,TIMES process: CWNCSGMX101
CWNCSSOL101,TIMES process: CWNCSSOL101
CWNENGMX101,TIMES process: CWNENGMX101
CWNENSOL101,TIMES process: CWNENSOL101
CWNSAGMX101,TIMES process: CWNSAGMX101
CWNSASOL101,TIMES process: CWNSASOL101
CWSABGS100,TIMES process: CWSABGS100
CWSACPS100,TIMES process: CWSACPS100
CWSAGMX100,TIMES process: CWSAGMX100
CWSAGMX101,TIMES process: CWSAGMX101
CWSAHET100,TIMES process: CWSAHET100
CWSALPG100,TIMES process: CWSALPG100
CWSAOIL100,TIMES process: CWSAOIL100
CWSAPEL100,TIMES process: CWSAPEL100
CWSASOL100,TIMES process: CWSASOL100
CWSASOL101,TIMES process: CWSASOL101
DIGEGAS100,TIMES process: DIGEGAS100
DIGEOIL100,TIMES process: DIGEOIL100
DJ_2F_process,TIMES process: DJ_2F_process
DJ_3F_process,TIMES process: DJ_3F_process
DJ_4F_process,TIMES process: DJ_4F_process
DJ_AP_process,TIMES process: DJ_AP_process
Dum_Retrofit,TIMES process: Dum_Retrofit
Dum_Retrofit_Commercial,TIMES process: Dum_Retrofit_Commercial
ECHPP_CCGT-CHP_GAS_N,TIMES process: ECHPP_CCGT-CHP_GAS_N
ECHPP_COM_BGS_E05,TIMES process: ECHPP_COM_BGS_E05
ECHPP_COM_CPS_E01,TIMES process: ECHPP_COM_CPS_E01
ECHPP_COM_GAS_E04,TIMES process: ECHPP_COM_GAS_E04
ECHPP_COM_OIL_E06,TIMES process: ECHPP_COM_OIL_E06
ECHPP_COM_PEL_E03,TIMES process: ECHPP_COM_PEL_E03
ECHPP_MOT_BGS_E01,TIMES process: ECHPP_MOT_BGS_E01
ECHPP_MOT_BIO_E02,TIMES process: ECHPP_MOT_BIO_E02
ECHPP_MOT_GAS_E04,TIMES process: ECHPP_MOT_GAS_E04
ECHPP_MOT_OIL_E03,TIMES process: ECHPP_MOT_OIL_E03
ELCBGS00,Biogas for electricity generation
ELCBIO00,Biomass for electricity generation
ELCCPS00,Wood chips for electricity generation
ELCGAS00,Natural gas for electricity generation
ELCHYD00,Hydropower for electricity generation
ELCNUC00,Nuclear fuel for electricity generation
ELCOIL00,Oil for electricity generation
ELCPEL00,Pellets for electricity generation
ELCSLU00,Sludge for electricity generation
ELCSOL00,Solar energy for electricity generation
ELCWIN00,Wind energy for electricity generation
ELCWST00,Waste for electricity generation
ENUC_Thiange,Tihange Nuclear Power Plant
ERNW_Eolien_Big_E1,Renewable: Wind - Large onshore
ERNW_Eolien_Medium_E3,Renewable: Wind - Medium onshore
ERNW_Eolien_Small_E4,Renewable: Wind - Small onshore
ERNW_HYD_HYD_N,Renewable: Hydro - Run-of-river
ERNW_Hydro_Big_E5,Renewable: Hydro - Large reservoir
ERNW_Hydro_Medium_E6,Renewable: Hydro - Medium reservoir
ERNW_Hydro_Pompage_E8,Renewable: Hydro - Pumped storage
ERNW_Hydro_Small_E7,Renewable: Hydro - Small reservoir
ERNW_PV-Buildings_SOL_N,Renewable: Solar PV - Buildings
ERNW_PV-GreenField_SOL_N,Renewable: Solar PV - Ground-mounted
ERNW_PV-Large_Roof_SOL_N,Renewable: Solar PV - Large rooftop
ERNW_WINON_WIN_N,Renewable: Wind - Onshore
ETSTP_CCGT-CCS_PostC_GAS_N,TIMES process: ETSTP_CCGT-CCS_PostC_GAS_N
ETSTP_CCGT_GAS_N,TIMES process: ETSTP_CCGT_GAS_N
ETSTP_MOT_BGS_E09,TIMES process: ETSTP_MOT_BGS_E09
ETSTP_TAG_GAS_E06,TIMES process: ETSTP_TAG_GAS_E06
ETSTP_TGV_GAS_E01,TIMES process: ETSTP_TGV_GAS_E01
ETSTP_TGV_GAS_E02,TIMES process: ETSTP_TGV_GAS_E02
ETSTP_TGV_GAS_E03,TIMES process: ETSTP_TGV_GAS_E03
ETSTP_TGV_GAS_E04,TIMES process: ETSTP_TGV_GAS_E04
ETSTP_TVC_WST_E11,TIMES process: ETSTP_TVC_WST_E11
EVTRANS_H-H,TIMES process: EVTRANS_H-H
EVTRANS_H-M,TIMES process: EVTRANS_H-M
EVTRANS_M-L,TIMES process: EVTRANS_M-L
EXPBIOLOG,Export: Wood logs
EXPBIOPEL,Export: Pellets
EXPELCHIG,Export of HV Electricity (AC / DC)
IAMADVPRO10,Chemicals: Ammonia - Advanced production process
IAMSTDPRO00,Chemicals: Ammonia - Standard production process
IAMSTDPRO01,Chemicals: Ammonia - Standard production process (variant)
IBKSTDPRO00,TIMES process: IBKSTDPRO00
IBKSTDPRO01,TIMES process: IBKSTDPRO01
IBOBIOPEL00,TIMES process: IBOBIOPEL00
IBOBIOPEL01,TIMES process: IBOBIOPEL01
IBOHTHSTMCPS01,TIMES process: IBOHTHSTMCPS01
IBOPROD00,TIMES process: IBOPROD00
IBOPROD01,TIMES process: IBOPROD01
IBOSTMGAS00,TIMES process: IBOSTMGAS00
IBOSTMOIL00,TIMES process: IBOSTMOIL00
IBOSTMSOLID00,TIMES process: IBOSTMSOLID00
ICESTDPRO00,TIMES process: ICESTDPRO00
ICESTDPRO01,TIMES process: ICESTDPRO01
ICHDEMAND00,Chemicals: Other - Demand process
ICHELEELC00,TIMES process: ICHELEELC00
ICHELEELC01,TIMES process: ICHELEELC01
ICHMCHELC00,TIMES process: ICHMCHELC00
ICHMCHELC01,TIMES process: ICHMCHELC01
ICHOTH-NRG,TIMES process: ICHOTH-NRG
ICHPACELC01,TIMES process: ICHPACELC01
ICHPRCCOA00,TIMES process: ICHPRCCOA00
ICHPRCCOA01,TIMES process: ICHPRCCOA01
ICHPRCCOK01,TIMES process: ICHPRCCOK01
ICHPRCCPS00,TIMES process: ICHPRCCPS00
ICHPRCCPS01,TIMES process: ICHPRCCPS01
ICHPRCGAS00,TIMES process: ICHPRCGAS00
ICHPRCHFO00,TIMES process: ICHPRCHFO00
ICHSTMBGS01,TIMES process: ICHSTMBGS01
ICHSTMCOA00,TIMES process: ICHSTMCOA00
ICHSTMCPS00,TIMES process: ICHSTMCPS00
ICHSTMCPS01,TIMES process: ICHSTMCPS01
ICHSTMELC01,TIMES process: ICHSTMELC01
ICHSTMGAS00,TIMES process: ICHSTMGAS00
ICHSTMGMX00,TIMES process: ICHSTMGMX00
ICHSTMHET00,TIMES process: ICHSTMHET00
ICHSTMHET01,TIMES process: ICHSTMHET01
ICHSTMHFO00,TIMES process: ICHSTMHFO00
ICHSTMLFO00,TIMES process: ICHSTMLFO00
ICHSTMLPG00,TIMES process: ICHSTMLPG00
ICMDRYPRD00,TIMES process: ICMDRYPRD00
ICMDRYPRD10,TIMES process: ICMDRYPRD10
ICMFINPRO00,Non metal minerals: Cement - Final production process
ICMFINPRO01,TIMES process: ICMFINPRO01
ICMPRC20,TIMES process: ICMPRC20
ICMPRC21,TIMES process: ICMPRC21
ICMPRCCOA00,TIMES process: ICMPRCCOA00
ICMPRCCOK00,TIMES process: ICMPRCCOK00
ICMPRCCOL00,TIMES process: ICMPRCCOL00
ICMPRCGAS00,TIMES process: ICMPRCGAS00
ICMPRCHFO00,TIMES process: ICMPRCHFO00
ICMPRCSLU00,TIMES process: ICMPRCSLU00
ICMPRDCC_02,TIMES process: ICMPRDCC_02
ICMWETPRD00,TIMES process: ICMWETPRD00
IGFFLATGL00,Non metal minerals: Glass flat - Production process
IGFFLATGL01,TIMES process: IGFFLATGL01
IGFFLATOXYCC01,TIMES process: IGFFLATOXYCC01
IGHHOLLOW00,Non metal minerals: Glass hollow - Production process
IGHHOLLOW01,TIMES process: IGHHOLLOW01
IGHHOLLOWOXYCC01,TIMES process: IGHHOLLOWOXYCC01
IGHOTOCC01,TIMES process: IGHOTOCC01
IGHOTSTD01,TIMES process: IGHOTSTD01
IGHRECYCL00,TIMES process: IGHRECYCL00
IISBLAFURTGR,TIMES process: IISBLAFURTGR
IISBOXSCR01,TIMES process: IISBOXSCR01
IISDRIEAF01,TIMES process: IISDRIEAF01
IISDRISPN01,TIMES process: IISDRISPN01
IISELAFUR00,TIMES process: IISELAFUR00
IISELAFUR01,TIMES process: IISELAFUR01
IISFINPRO00,Industry: Iron and steel - Final production process
IISFINPRO02,TIMES process: IISFINPRO02
IISPELLET01,TIMES process: IISPELLET01
IISSINTER01,TIMES process: IISSINTER01
IISSTMGAS00,TIMES process: IISSTMGAS00
IISSTMGMX01,TIMES process: IISSTMGMX01
ILMPRCCOA00,TIMES process: ILMPRCCOA00
ILMPRCCOK00,TIMES process: ILMPRCCOK00
ILMPRCCOL00,TIMES process: ILMPRCCOL00
ILMPRCGAS00,TIMES process: ILMPRCGAS00
ILMPRCLFO00,TIMES process: ILMPRCLFO00
ILMPRCLPG00,TIMES process: ILMPRCLPG00
ILMPRCSLU00,TIMES process: ILMPRCSLU00
ILMQLMPRCC02,TIMES process: ILMQLMPRCC02
ILMQLMPRO00,Non metal minerals: Lime - Production process
ILMQLMPRO01,TIMES process: ILMQLMPRO01
IMLEVA00,TIMES process: IMLEVA00
IMLEVA03,TIMES process: IMLEVA03
IMLHTHSTMCPS01,TIMES process: IMLHTHSTMCPS01
IMLSTMGAS00,TIMES process: IMLSTMGAS00
IMLSTMOIL00,TIMES process: IMLSTMOIL00
IMPBIOCPS,Import of Solid biomass
IMPBIODST,Import of biomasse
IMPBIOEFF,Import of Unknown
IMPBIOETH,Import of -
IMPBIOLOG,Import of Solid biomass
IMPBIORME,Import of Unknown
IMPCOACOK,Import: Coke
IMPCOAHAR,Import: Hard Coal
IMPCOALIG,Import: Black Lignite
IMPELCHIG,Import of HV Electricity (AC / DC)
IMPGASNAT,Import: Natural Gas
IMPH2,Import of Unknown
IMPNUCRSV,Import of Nuclear
IMPOILDST,Import: Diesel
IMPOILGSL,Import: Gasoline
IMPOILHFO,Import: Heavy fuel oil
IMPOILKER,Import: Kerosene
IMPOILLPG,Import: LPG
IMPOILOTH,Import: Other petroleum products
INDBGS00,Industry process using Biogas
INDBIO00,TIMES process: INDBIO00
INDCOA00,Industry process using Coal
INDCOK00,Industry process using -
INDCOL00,Industry process using Lignite
INDCPS00,Industry process using Solid biomass
INDELC00,Industry process using Electricity
INDGAS00,Industry process using Natural Gas
INDGASCOG01,Industry process using Natural Gas
INDGEO00,TIMES process: INDGEO00
INDGH2C01,Industry process using Hydrogen
INDGH2C01_i,Industry process using Hydrogen
INDGMX00,Industry process using Biogas
INDHFO00,Industry process using Oil
INDHTH00,TIMES process: INDHTH00
INDIIS01,TIMES process: INDIIS01
INDLFO00,Industry process using Oil
INDLPG00,Industry process using Oil
INDPVELC,Industry process using Electricity
INDSLU00,Industry process using -
INDSOL00,TIMES process: INDSOL00
INDWOO00,TIMES process: INDWOO00
INDWST00,Industry process using Municipal waste (optional)
INFDEMAND00,TIMES process: INFDEMAND00
INFELEELC00,TIMES process: INFELEELC00
INFELEELC01,TIMES process: INFELEELC01
INFMCHELC00,TIMES process: INFMCHELC00
INFMCHELC01,TIMES process: INFMCHELC01
INFPRCCOA01,TIMES process: INFPRCCOA01
INFPRCGMX00,TIMES process: INFPRCGMX00
INFSTMCOL01,TIMES process: INFSTMCOL01
INFSTMGMX00,TIMES process: INFSTMGMX00
INFSTMLFO00,TIMES process: INFSTMLFO00
INFSTMLPG00,TIMES process: INFSTMLPG00
INMDEMAND00,TIMES process: INMDEMAND00
INMELEELC00,TIMES process: INMELEELC00
INMELEELC01,TIMES process: INMELEELC01
INMMCHELC00,TIMES process: INMMCHELC00
INMMCHELC01,TIMES process: INMMCHELC01
INMPRCCOA01,TIMES process: INMPRCCOA01
INMPRCCOK01,TIMES process: INMPRCCOK01
INMPRCGMX00,TIMES process: INMPRCGMX00
INMPRCLFO00,TIMES process: INMPRCLFO00
INMSTMBGS01,TIMES process: INMSTMBGS01
INMSTMCOL00,TIMES process: INMSTMCOL00
INMSTMCOL01,TIMES process: INMSTMCOL01
INMSTMCPS01,TIMES process: INMSTMCPS01
INMSTMGMX00,TIMES process: INMSTMGMX00
INMSTMHFO00,TIMES process: INMSTMHFO00
INMSTMLFO00,TIMES process: INMSTMLFO00
INMSTMLPG00,TIMES process: INMSTMLPG00
IOFDEMAND00,TIMES process: IOFDEMAND00
IOFELEELC00,TIMES process: IOFELEELC00
IOFELEELC01,TIMES process: IOFELEELC01
IOFFROELC00,TIMES process: IOFFROELC00
IOFFROELC01,TIMES process: IOFFROELC01
IOFMCHELC00,TIMES process: IOFMCHELC00
IOFMCHELC01,TIMES process: IOFMCHELC01
IOFOTH-NRG,TIMES process: IOFOTH-NRG
IOFPACELC01,TIMES process: IOFPACELC01
IOFPRCBGS00,TIMES process: IOFPRCBGS00
IOFPRCCPS00,TIMES process: IOFPRCCPS00
IOFPRCELC01,TIMES process: IOFPRCELC01
IOFPRCGAS00,TIMES process: IOFPRCGAS00
IOFPRCGMX00,TIMES process: IOFPRCGMX00
IOFPRCGMX01,TIMES process: IOFPRCGMX01
IOFPRCHH202,TIMES process: IOFPRCHH202
IOFPRCLFO00,TIMES process: IOFPRCLFO00
IOFSTMBGS00,TIMES process: IOFSTMBGS00
IOFSTMBGS01,TIMES process: IOFSTMBGS01
IOFSTMCPS00,TIMES process: IOFSTMCPS00
IOFSTMCPS01,TIMES process: IOFSTMCPS01
IOFSTMELC01,TIMES process: IOFSTMELC01
IOFSTMGAS00,TIMES process: IOFSTMGAS00
IOFSTMGMX00,TIMES process: IOFSTMGMX00
IOFSTMHET00,TIMES process: IOFSTMHET00
IOFSTMHET01,TIMES process: IOFSTMHET01
IOFSTMLFO00,TIMES process: IOFSTMLFO00
IOFSTMLPG00,TIMES process: IOFSTMLPG00
IOIDEMAND00,TIMES process: IOIDEMAND00
IOIELEELC00,TIMES process: IOIELEELC00
IOIELEELC01,TIMES process: IOIELEELC01
IOIMCHELC00,TIMES process: IOIMCHELC00
IOIMCHELC01,TIMES process: IOIMCHELC01
IOIOTH-NRG,TIMES process: IOIOTH-NRG
IOIPACELC01,TIMES process: IOIPACELC01
IOIPRCELC01,TIMES process: IOIPRCELC01
IOIPRCGAS00,TIMES process: IOIPRCGAS00
IOIPRCGMX00,TIMES process: IOIPRCGMX00
IOIPRCGMX01,TIMES process: IOIPRCGMX01
IOIPRCHH202,TIMES process: IOIPRCHH202
IOIPRCLFO00,TIMES process: IOIPRCLFO00
IOISTMBGS01,TIMES process: IOISTMBGS01
IOISTMCOK00,TIMES process: IOISTMCOK00
IOISTMCPS00,TIMES process: IOISTMCPS00
IOISTMCPS01,TIMES process: IOISTMCPS01
IOISTMELC01,TIMES process: IOISTMELC01
IOISTMGAS00,TIMES process: IOISTMGAS00
